fecha_hora,temperatura_C,humedad_%,punto_rocio_C,presion_hPa,precipitacion_mm,viento_velocidad_kmh,viento_rafaga_kmh,viento_direccion_°,codigo_clima_wmo
2025-11-05T23:00,14.3,66,8.0,1023.6,0.0,16.92,58.32,332,0
2025-11-06T00:00,13.2,66,7.0,1023.7,0.0,12.24,41.4,6,0
2025-11-06T01:00,12.7,68,6.8,1023.2,0.0,15.48,36.36,336,0
2025-11-06T02:00,12.1,70,6.8,1022.6,0.0,10.44,32.4,7,0
2025-11-06T03:00,11.2,75,7.0,1022.4,0.0,13.32,27.36,35,0
2025-11-06T04:00,10.2,81,7.2,1022.0,0.0,15.840000000000002,33.84,21,0
2025-11-06T05:00,9.4,82,6.5,1021.9,0.0,12.6,33.84,21,0
2025-11-06T06:00,8.4,84,5.8,1022.8,0.0,12.6,30.96,28,1
2025-11-06T07:00,7.5,88,5.7,1023.1,0.0,14.4,38.88,5,1
2025-11-06T08:00,9.6,75,5.3,1023.7,0.0,9.72,38.88,4,0
2025-11-06T09:00,13.6,45,1.7,1023.6,0.0,3.6,36.36,315,0
2025-11-06T10:00,16.4,35,0.9,1022.3,0.0,3.24,41.4,323,0
2025-11-06T11:00,19.2,26,-0.6,1020.3,0.0,5.4,49.32,330,0
2025-11-06T12:00,21.3,18,-3.9,1017.9,0.0,12.6,53.28,339,0
2025-11-06T13:00,22.8,15,-5.6,1015.7,0.0,16.2,71.28,358,2
2025-11-06T14:00,23.7,13,-6.2,1013.9,0.0,18.720000000000002,76.32,360,0
2025-11-06T15:00,24.1,13,-6.5,1012.5,0.0,20.52,80.28,351,1
2025-11-06T16:00,23.8,12,-7.1,1012.2,0.0,27.36,89.28,342,0
2025-11-06T17:00,22.8,12,-7.6,1012.6,0.0,34.92,98.64,338,0
2025-11-06T18:00,21.3,16,-5.3,1013.3,0.0,38.519999999999996,102.24,348,0
2025-11-06T19:00,20.1,21,-3.0,1014.7,0.0,37.440000000000005,99.72,8,1
2025-11-06T20:00,18.3,30,0.2,1017.1,0.0,32.76,85.68,32,1
2025-11-06T21:00,16.6,40,3.0,1018.7,0.0,36.0,81.72,346,0
2025-11-06T22:00,15.6,44,3.4,1019.4,0.0,31.319999999999997,84.24,326,1
2025-11-06T23:00,15.2,43,2.7,1019.5,0.0,23.400000000000002,69.84,326,0
2025-11-07T00:00,14.2,45,2.3,1019.8,0.0,11.879999999999999,47.88,29,0
2025-11-07T01:00,13.9,47,2.6,1019.8,0.0,7.920000000000001,24.48,42,0
2025-11-07T02:00,13.2,51,3.3,1019.5,0.0,8.28,23.400000000000002,45,0
2025-11-07T03:00,12.6,55,3.7,1019.3,0.0,11.16,21.96,21,0
2025-11-07T04:00,12.0,59,4.4,1019.1,0.0,4.680000000000001,21.96,352,1
2025-11-07T05:00,11.4,65,5.0,1019.1,0.0,3.9600000000000004,9.0,360,0
2025-11-07T06:00,9.9,67,4.1,1019.8,0.0,7.920000000000001,7.920000000000001,360,0
2025-11-07T07:00,9.9,65,3.6,1020.6,0.0,10.44,23.400000000000002,360,0
2025-11-07T08:00,11.2,61,4.0,1021.1,0.0,6.48,30.96,24,0
