name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2022-01-01,28.1,-2,15.1,27.3,-2,15,2.2,49.5,0,0,0,,0,4.4,28.4,11.4,69,1019.5,5.5,8.4,235.9,20.5,9,,2022-01-01T07:10:48,2022-01-01T18:09:37,0.96,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-01-02,28.1,1,14.2,27.2,-0.7,14,3,50.7,0,0,0,,0,0,39.2,33.2,28.6,1021.6,1.2,11.7,226.8,19.5,8,,2022-01-02T07:11:07,2022-01-02T18:10:14,0,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-03,21.1,2.6,12.6,21.1,1.7,12.2,5.9,66.9,0,0,0,,0,0,31,18.4,77.3,1026.2,31.6,7.7,230.4,19.9,8,,2022-01-03T07:11:25,2022-01-03T18:10:51,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-01-04,24.2,3,15,24.2,3,14.7,4.1,53.6,0,0,0,,0,0,28.8,13.3,71.8,1023.6,1.3,8.9,235.5,20.3,8,,2022-01-04T07:11:42,2022-01-04T18:11:29,0.06,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-05,25,1,14.8,25,1,14.7,3.3,52.3,0,0,0,,0,0,21.6,18.2,135.8,1020.5,23.5,10.5,224.6,19.3,8,,2022-01-05T07:11:58,2022-01-05T18:12:07,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-01-06,24.1,4,15.7,24.1,1.6,15.6,4.4,51.2,0,0,0,,0,0,32.4,18.4,22.9,1018.1,36.8,9.3,218.8,19,8,,2022-01-06T07:12:12,2022-01-06T18:12:46,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-07,21.4,4.3,14.8,21.4,3.2,14.8,4.6,54.4,1.011,100,8.33,rain,0,0,35.3,16.7,184.5,1018.7,76.4,12,186.3,16.1,8,,2022-01-07T07:12:26,2022-01-07T18:13:24,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-08,26.1,1,14.2,26.1,-0.7,13.9,4,55,1.1,100,8.33,rain,0,0,37.1,27.7,15,1022.4,48,11.5,189.2,16.3,8,,2022-01-08T07:12:38,2022-01-08T18:14:03,0.2,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-09,28,1,14.5,27,1,14.3,3.8,54.6,0,0,0,,0,0,40,18.4,18.2,1025,31.9,12.4,225.4,19.5,8,,2022-01-09T07:12:49,2022-01-09T18:14:42,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-01-10,19.1,3.1,12.5,19.1,1.7,12,4.3,57.6,0,0,0,,0,0,37.1,25.8,21,1027.2,63.2,11.8,145.4,12.6,6,,2022-01-10T07:12:59,2022-01-10T18:15:21,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-11,26,3,11.7,26,0.5,11.3,4.5,64.4,0,0,0,,0,0,25.2,16.8,322.2,1027.2,63.7,12.9,118.2,10.2,6,,2022-01-11T07:13:08,2022-01-11T18:16:00,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-01-12,26,3.1,12.6,26,1.7,12.2,3.7,60.1,0,0,0,,0,0,35.6,22.2,356.7,1025.1,13.6,11.1,217.3,18.8,8,,2022-01-12T07:13:15,2022-01-12T18:16:39,0.33,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-13,26,2,13.4,26,-0.8,13.1,2.3,51.9,0,0,0,,0,0,33.1,18.3,355.4,1023.7,27.6,12.1,202.1,17.5,8,,2022-01-13T07:13:21,2022-01-13T18:17:19,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-01-14,27,2,13.8,26.4,2,13.4,-0.1,47.5,0,0,0,,0,0,29.9,14.9,43.6,1021.4,8,12.2,245.3,21.1,9,,2022-01-14T07:13:26,2022-01-14T18:17:58,0.39,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-15,22.1,4.1,14.7,22.1,4.1,14.6,4.3,53.7,0,0,0,,0,0,38.2,22.1,20.6,1019.3,19.7,13.1,209.9,18.2,8,,2022-01-15T07:13:30,2022-01-15T18:18:37,0.43,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
