name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2024-07-01,20.8,14.2,16.9,20.8,14.2,16.9,14.2,85,5.253,100,37.5,rain,0,0,28.8,16.8,348.4,1014,99.1,8.3,99.3,8.5,5,,2024-07-01T06:02:02,2024-07-01T19:19:00,0.85,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"76726099999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-07-02,24.6,11.9,18.3,24.6,11.9,18.3,12.7,72.3,5.4,100,12.5,rain,0,0,32.4,22.3,81,1013.9,85.6,12.3,249.9,21.6,9,,2024-07-02T06:02:21,2024-07-02T19:19:03,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-07-03,25.1,14.2,18.8,25.1,14.2,18.8,13.2,71.5,2.671,100,16.67,rain,0,0,25.2,21.8,85.4,1016,84.6,9.8,260.6,22.6,9,,2024-07-03T06:02:40,2024-07-03T19:19:05,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-07-04,26,12.1,18.6,26,12.1,18.6,13.9,77.1,2.791,100,12.5,rain,0,0,22.7,47,46.7,1016.2,74.6,7.4,293.1,25.4,10,,2024-07-04T06:03:00,2024-07-04T19:19:06,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-07-05,26.1,9.1,18.5,26.1,9.1,18.5,10.9,65.3,0.1,100,4.17,rain,0,0,29.5,36.3,17.6,1014.7,63.1,10,301,26.1,10,,2024-07-05T06:03:20,2024-07-05T19:19:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76726099999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-07-06,26.4,9.1,19.6,26.4,7.3,19.5,11,61.9,0.057,100,4.17,rain,0,0,29.5,33,39.8,1017.3,35.4,11.2,270.1,23.3,9,,2024-07-06T06:03:40,2024-07-06T19:19:05,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-07-07,27.2,10.4,20.4,27.5,10.4,20.4,11.4,61.5,0.4,100,4.17,rain,0,0,26.3,19.9,44,1015.1,37.4,11.7,319.1,27.6,10,,2024-07-07T06:04:01,2024-07-07T19:19:03,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-07-08,27.9,13.1,21.4,27.4,13.1,21.3,12.1,59.4,0.4,100,4.17,rain,0,0,44.6,20.4,7.6,1010.1,50.9,9.5,283.9,24.5,9,,2024-07-08T06:04:22,2024-07-08T19:19:00,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-07-09,24.4,14.7,18.4,24.4,14.7,18.4,12.9,71.9,4.29,100,20.83,rain,0,0,36.7,25.4,7.5,1014.4,91.1,9.2,242.7,20.8,8,,2024-07-09T06:04:43,2024-07-09T19:18:56,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-07-10,22,13.1,17.2,22,13.1,17.2,13.8,81.2,11.8,100,16.67,rain,0,0,24.5,18.9,354.7,1016.2,97,8.2,71.3,6.2,3,,2024-07-10T06:05:04,2024-07-10T19:18:51,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-07-11,26,11.9,17.7,26,11.9,17.7,14,79.8,0.3,100,4.17,rain,0,0,32.4,23.7,82.8,1015.3,91.7,9,191.2,16.5,7,,2024-07-11T06:05:26,2024-07-11T19:18:45,0.19,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
