name                            , datetime  , tempmax, tempmin, temp, feelslikemax, feelslikemin, feelslike, dew , humidity, precip, precipprob, precipcover, preciptype, snow, snowdepth, windgust, windspeed, winddir, sealevelpressure, cloudcover, visibility, solarradiation, solarenergy, uvindex, severerisk, sunrise            , sunset             , moonphase, conditions              , description                                                               , icon             , stations
"Gustavo A Madero, CDMX, México", 2025-01-01,    23.1,     2.1, 14.2,         23.1, 2.1         ,      14.1, -0.4,     39.5,  0    ,        0  ,        0   ,           ,    0,         0,     30.2,      13.4,    58.5,           1017.9,       58.5,        9.2,          215.6,        18.5,       8,         10, 2025-01-01T07:10:55, 2025-01-01T18:09:48,      0.06, Partially cloudy        , Partly cloudy throughout the day.                                         , partly-cloudy-day, "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,remote,MXM00076675,MMMX,MXI0000MMTO,MXI0000MMSM,76680099999,MXI0000MMCB,MMSM,MMTO,76675099999"
"Gustavo A Madero, CDMX, México", 2025-01-02,    21.2,     6.7, 13.9,         21.2, 4.8         ,      13.7, 3.6 ,     55.1,  0    ,        0  ,        0   ,           ,    0,         0,     33.8,      25.7,    25.1,           1019.6,       36.8,        7.7,          219.4,        19  ,       8,         10, 2025-01-02T07:11:14, 2025-01-02T18:10:26,      0.1 , Partially cloudy        , Partly cloudy throughout the day.                                         , partly-cloudy-day, "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,MXM00076675,MMMX,MXI0000MMTO,MXI0000MMSM,76680099999,MXI0000MMCB,MMSM,76675099999"
"Gustavo A Madero, CDMX, México", 2025-01-03,    21.5,     2.1, 11.6,         21.5, 2.1         ,      11.3, 3.7 ,     62.2,  0    ,        0  ,        0   ,           ,    0,         0,     21.6,      19.2,   356.2,           1021.2,       23.3,        7.7,          169.8,        14.7,       7,         10, 2025-01-03T07:11:31, 2025-01-03T18:11:03,      0.14, Partially cloudy        , Partly cloudy throughout the day.                                         , partly-cloudy-day, "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,MXM00076675,MMMX,MXI0000MMTO,MXI0000MMSM,MMCB,76680099999,MXI0000MMCB,MMSM,76675099999"
"Gustavo A Madero, CDMX, México", 2025-01-04,    21.8,     4.6, 13.9,         21.8, 4.6         ,      13.8, 7.1 ,     67.2,  0.192,      100  ,        4.17, rain      ,    0,         0,     21.6,      17.9,   231.7,           1016.8,       46.4,        7.6,          182.3,        16  ,       7,         10, 2025-01-04T07:11:48, 2025-01-04T18:11:41,      0.17, "Rain, Partially cloudy", Partly cloudy throughout the day with afternoon rain.                     , rain             , "76726099999,76679399999,MXI0000MMMX,MXI0000MMSM,MXM00076680,76680099999,MMCB,MXI0000MMCB,MXM00076675,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México", 2025-01-05,    21.8,     2.4, 13.6,         21.8, 2.4         ,      13.6, 4.7 ,     57.6,  0.025,      100  ,        4.17, rain      ,    0,         0,     28.8,      17.5,   177.2,           1018.4,       64.4,       13.4,          160  ,        13.6,       6,         10, 2025-01-05T07:12:03, 2025-01-05T18:12:19,      0.21, "Rain, Partially cloudy", Partly cloudy throughout the day with late afternoon rain.                , rain             , "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,MXM00076675,MMMX,MXI0000MMTO,MXI0000MMSM,76680099999,MXI0000MMCB,MMSM,76675099999,MMTO"
"Gustavo A Madero, CDMX, México", 2025-01-06,    19.8,     2.6, 12  ,         19.8, 1.6         ,      11.9, 5.2 ,     66.1,  0    ,        0  ,        0   ,           ,    0,         0,     35.3,       9.4,   323.2,           1017.8,       62.5,        8.5,          143.9,        12.5,       6,         10, 2025-01-06T07:12:18, 2025-01-06T18:12:58,      0.25, Partially cloudy        , Partly cloudy throughout the day.                                         , partly-cloudy-day, "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,MXM00076675,MMMX,MXI0000MMTO,MXI0000MMSM,76680099999,MXI0000MMCB,MMSM,76675099999,MMTO"
"Gustavo A Madero, CDMX, México", 2025-01-07,    21.2,     5.3, 14.3,         21.2, 5.3         ,      14.3, 7   ,     63.7,  0.1  ,      100  ,        4.17, rain      ,    0,         0,     43.2,      17.6,   193.5,           1015.8,       66.8,        9.3,          196.1,        16.9,       8,         10, 2025-01-07T07:12:31, 2025-01-07T18:13:36,      0.28, "Rain, Partially cloudy", Partly cloudy throughout the day with afternoon rain.                     , rain             , "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,remote,MXM00076675,MXI0000MMTO,MXI0000MMSM,76680099999,MXI0000MMCB,MMSM,76675099999"
"Gustavo A Madero, CDMX, México", 2025-01-08,    22.9,     4.4, 14.4,         22.9, 4.4         ,      14.2, 7.2 ,     65.5,  0    ,        0  ,        0   , rain      ,    0,         0,     31.7,      18.5,   169.1,           1018.6,       42.2,       10.8,          205.6,        17.8,       8,         10, 2025-01-08T07:12:43, 2025-01-08T18:14:15,      0.31, Partially cloudy        , Becoming cloudy in the afternoon.                                         , partly-cloudy-day, "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,MXM00076675,MMMX,MXI0000MMTO,MXI0000MMSM,76680099999,MXI0000MMCB,MMSM,76675099999,MMTO"
"Gustavo A Madero, CDMX, México", 2025-01-09,    23.2,    10.7, 16.3,         23.2, 10.7        ,      16.3, 7.5 ,     59.7,  0    ,        0  ,        0   , rain      ,    0,         0,     51.5,      27.7,   174  ,           1012.1,       39.5,       11.3,          212.2,        18.3,       8,         10, 2025-01-09T07:12:54, 2025-01-09T18:14:54,      0.35, Partially cloudy        , Partly cloudy throughout the day.                                         , partly-cloudy-day, "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,MXM00076675,MMMX,MXI0000MMTO,76680099999,MMCB,MXI0000MMCB,MMSM,76675099999,MMTO"
"Gustavo A Madero, CDMX, México", 2025-01-10,    21.1,     9.4, 14.7,         21.1, 9.4         ,      14.7, 7.6 ,     63.7,  1.166,      100  ,       25   , rain      ,    0,         0,     50.8,      24.6,   145.8,           1011.4,       63.8,       10.1,          181.1,        15.6,       8,         10, 2025-01-10T07:13:03, 2025-01-10T18:15:33,      0.39, "Rain, Partially cloudy", Becoming cloudy in the afternoon with rain.                               , rain             , "76726099999,76675399999,76679399999,MXI0000MMMX,MXM00076680,MXA00766754,MXM00076675,MMMX,MXI0000MMTO,MXI0000MMSM,76680099999,MMCB,MXI0000MMCB,MMSM,76675099999"
