name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Gustavo A Madero, CDMX, México",2022-01-01T00:00:00,13.9,13.9,4,51.37,0,0,,0,0,15.5,11,147,1009.7,0,12.9,0,0,0,,Clear,clear-night,"76679399999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T01:00:00,5,5,3,86.9,0,0,,0,0,13.7,0,0,1028.1,0,3,0,0,0,,Clear,clear-night,MMTO
"Gustavo A Madero, CDMX, México",2022-01-01T02:00:00,9.2,8.2,5.7,78.74,0,0,,0,0,13.7,7.2,145.8,1016,0,,0,0,0,,Clear,clear-night,remote
"Gustavo A Madero, CDMX, México",2022-01-01T03:00:00,4,4,3,93.19,0,0,,0,0,13.7,0,0,1010.8,0,3,0,0,0,,Clear,clear-night,MMTO
"Gustavo A Madero, CDMX, México",2022-01-01T04:00:00,7.4,6.2,5.2,85.93,0,0,,0,0,13.7,6.8,144.4,1017,0,,0,0,0,,Clear,clear-night,remote
"Gustavo A Madero, CDMX, México",2022-01-01T05:00:00,9.7,9.7,3.9,67.23,0,0,,0,0,13.7,0,0,1025.4,0,7.8,0,0,0,,Clear,clear-night,"76675399999,76679399999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T06:00:00,9.6,9.2,2.9,62.99,0,0,,0,105,13.3,5.2,89,1012,1.8,7.7,0,0,0,,Clear,clear-night,"76675399999,76679399999,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T07:00:00,-2,-2,-2,100,0,0,,0,0,12.6,0,0,1028.1,100,0,0,0,0,,Overcast,cloudy,MMTO
"Gustavo A Madero, CDMX, México",2022-01-01T08:00:00,15.1,15.1,8.1,62.96,0,0,,0,0,12.6,0,136.6,1019,30,11,48.3,0.2,0,,Partially cloudy,partly-cloudy-day,76726099999
"Gustavo A Madero, CDMX, México",2022-01-01T09:00:00,10.4,10.4,3.8,63.62,0,0,,0,0,15.5,9.3,72,1015.3,0.2,3,260.6,0.9,3,,Clear,clear-day,"76726099999,76680099999,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-01T10:00:00,14,14,4,50.92,0,0,,0,0,14.4,5.4,60,1028.5,0,2,487.9,1.8,5,,Clear,clear-day,MMMX
"Gustavo A Madero, CDMX, México",2022-01-01T11:00:00,16.1,16.1,5,47.94,0,0,,0,0,15.8,5.4,115,1028.4,0,3.1,673.7,2.4,7,,Clear,clear-day,"76675399999,76679399999,MMCB"
"Gustavo A Madero, CDMX, México",2022-01-01T12:00:00,19.5,19.5,7.8,46.81,0,0,,0,0,18.7,4.4,316,1015.4,0,2.8,797,2.9,8,,Clear,clear-day,"76726099999,76680099999,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T13:00:00,21.1,21.1,2,28.35,0,0,,0,0,23.4,0.5,297,1026.1,0,6.1,852,3.1,9,,Clear,clear-day,"76675399999,76679399999,MMCB"
"Gustavo A Madero, CDMX, México",2022-01-01T14:00:00,28.1,27.3,10.1,32.5,0,0,,0,0,25.9,5.4,220,1013,0,11,823.9,3,8,,Clear,clear-day,76726099999
"Gustavo A Madero, CDMX, México",2022-01-01T15:00:00,23,23,0.3,22.37,0,0,,0,0,27.4,11.4,88,1007.5,0,6.8,721.2,2.6,7,,Clear,clear-day,"76680099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T16:00:00,24,24,-4.9,14.22,0,0,,0,0,28.1,11.1,28,1023.4,0,10.1,553.3,2,6,,Clear,clear-day,"76726099999,76679399999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T17:00:00,23.9,23.9,-5,14.19,0,0,,0,0,28.4,11.1,39,1023,0,11.1,336.9,1.2,3,,Clear,clear-day,"76726099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T18:00:00,23,23,-1.3,19.91,0,0,,0,0,27,9.7,25,1007.2,0,11.1,106.5,0.4,1,,Clear,clear-day,"76680099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T19:00:00,21.9,21.9,-4.9,16.2,0,0,,0,0,16.6,11.1,340,1024.1,0,14,0.4,0,0,,Clear,clear-night,"76726099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T20:00:00,14,14,3,47.46,0,0,,0,0,15.8,9.4,290,1027.4,0,13,0,0,0,,Clear,clear-night,MMTO
"Gustavo A Madero, CDMX, México",2022-01-01T21:00:00,17.8,17.8,0,29.87,0,0,,0,0,15.1,7.5,76,1008.7,0,13.8,0,0,0,,Clear,clear-night,"76680099999,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-01T22:00:00,18.1,18.1,-0.9,27.59,0,0,,0,0,10.4,5.4,150,1026.4,0,16,0,0,0,,Clear,clear-night,76679399999
"Gustavo A Madero, CDMX, México",2022-01-01T23:00:00,16,16,1,36.19,0,0,,0,0,7.2,5.4,259,1026.8,0,16,0,0,0,,Clear,clear-night,"76679399999,MMMX"
"Gustavo A Madero, CDMX, México",2022-01-02T00:00:00,15.1,15.1,3.1,44.52,0,0,,0,0,5,5.4,180,1011.2,0,16,0,0,0,,Clear,clear-night,76679399999
"Gustavo A Madero, CDMX, México",2022-01-02T01:00:00,5,3.9,-1,65.16,0,0,,0,0,7.2,5.4,100,1028.8,0,10,0,0,0,,Clear,clear-night,MMTO
"Gustavo A Madero, CDMX, México",2022-01-02T02:00:00,3,3,-2,69.68,0,0,,0,0,11.5,0,0,1028.5,0,10,0,0,0,,Clear,clear-night,MMTO
"Gustavo A Madero, CDMX, México",2022-01-02T03:00:00,9.9,9.3,2,57.66,0,0,,0,0,11.9,6.3,69,1017.2,0,13,0,0,0,,Clear,clear-night,"76675399999,76679399999,MMMX"
"Gustavo A Madero, CDMX, México",2022-01-02T04:00:00,8.9,8.9,2,61.84,0,0,,0,0,11.9,0,0,1025.4,0,11,0,0,0,,Clear,clear-night,"76679399999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-02T05:00:00,1,1,-3,74.63,0,0,,0,0,11.2,0,0,1027.4,0,8,0,0,0,,Clear,clear-night,MMTO
"Gustavo A Madero, CDMX, México",2022-01-02T06:00:00,8.2,7.7,0.2,57.04,0,0,,0,0,10.4,5,43,1011.2,0,11.4,0,0,0,,Clear,clear-night,"76675399999,76680099999,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-02T07:00:00,7.8,7.2,-1,53.87,0,0,,0,0,10.4,5.2,79,1026.8,0.2,15.7,0,0,0,,Clear,clear-night,"76726099999,76675399999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-02T08:00:00,1,-0.7,-1,86.49,0,0,,0,0,10.1,5.4,140,1029.5,0,8,49,0.2,0,,Clear,clear-day,MMTO
"Gustavo A Madero, CDMX, México",2022-01-02T09:00:00,11.5,11.5,1.6,50.83,0,0,,0,0,10.1,7.5,82,1016.4,0,12.8,262.5,0.9,3,,Clear,clear-day,"76679399999,76680099999,76675099999"
"Gustavo A Madero, CDMX, México",2022-01-02T10:00:00,22.1,22.1,10.1,46.48,0,0,,0,0,13,7.6,170,1021,0,13,486.6,1.8,5,,Clear,clear-day,76726099999
"Gustavo A Madero, CDMX, México",2022-01-02T11:00:00,19.2,19.2,4,36.59,0,0,,0,0,23,9.7,3.6,1021,0,,666.7,2.4,7,,Clear,clear-day,remote
"Gustavo A Madero, CDMX, México",2022-01-02T12:00:00,20.9,20.9,2.5,29.71,0,0,,0,0,21.6,10.3,312,1012.7,0,9.5,785.7,2.8,8,,Clear,clear-day,"76726099999,76680099999,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-02T13:00:00,22.1,22.1,1.9,26.3,0,0,,0,0,32.8,6.1,80,1028.8,0,13,843.9,3,8,,Clear,clear-day,"76726099999,76675399999,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-02T14:00:00,28.1,27.2,9.1,30.39,0,0,,0,0,33.8,7.6,200,1016,0,13,803.9,2.9,8,,Clear,clear-day,76726099999
"Gustavo A Madero, CDMX, México",2022-01-02T15:00:00,24,24,3,25.48,0,0,,0,0,35.6,13.2,352,1009.1,24.5,13.5,693,2.5,7,,Partially cloudy,partly-cloudy-day,"76726099999,76680099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-01-02T16:00:00,21.1,21.1,-2.9,19.76,0,0,,0,0,34.9,16.6,60,1026.7,0,14,440.4,1.6,4,,Clear,clear-day,76675399999
